country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
CPV,"LAND, PLANT AND SOIL RESOURCES",2024,0,0,0,,0,,0,,0,,0,0
CPV,"LAND, PLANT AND SOIL RESOURCES",2025,5,5,5,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,LANGUAGE,2024,0,0,0,,0,,0,,0,,0,0
CPV,LANGUAGE,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,LAW OF THE SEA,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,LAW OF THE SEA,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,LAW OF WAR,2024,0,0,0,,0,,0,,0,,0,0
CPV,LAW OF WAR,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,"LEISURE, RECREATION AND SPORTS",2024,0,0,0,,0,,0,,0,,0,0
CPV,"LEISURE, RECREATION AND SPORTS",2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,MAINTENANCE OF PEACE AND SECURITY,2024,29,22,22,100.00,0,0.00,0,0.00,7,24.14,0,0
CPV,MAINTENANCE OF PEACE AND SECURITY,2025,47,45,45,100.00,0,0.00,0,0.00,0,0.00,2,0
CPV,MARINE RESOURCES,2024,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,MARINE RESOURCES,2025,7,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,MINERAL RESOURCES,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,MINERAL RESOURCES,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,MONETARY ISSUES,2024,0,0,0,,0,,0,,0,,0,0
CPV,MONETARY ISSUES,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,NUCLEAR SCIENCE,2024,4,2,2,100.00,0,0.00,0,0.00,2,50.00,0,0
CPV,NUCLEAR SCIENCE,2025,3,2,2,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,PERSONS WITH DISABILITIES,2024,0,0,0,,0,,0,,0,,0,0
CPV,PERSONS WITH DISABILITIES,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,PHILOSOPHY AND RELIGION,2024,0,0,0,,0,,0,,0,,0,0
CPV,PHILOSOPHY AND RELIGION,2025,3,2,2,100.00,0,0.00,0,0.00,1,33.33,0,0
CPV,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",2024,28,26,26,100.00,0,0.00,0,0.00,2,7.14,0,0
CPV,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",2025,53,50,50,100.00,0,0.00,0,0.00,2,3.77,1,0
CPV,POLITICAL EVENTS AND ISSUES,2024,14,13,13,100.00,0,0.00,0,0.00,1,7.14,0,0
CPV,POLITICAL EVENTS AND ISSUES,2025,21,20,20,100.00,0,0.00,0,0.00,1,4.76,0,0
CPV,POLLUTION,2024,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,POLLUTION,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
