iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
MCO,87.73,160,69.23,99.33,146,20,22,188,77.7,10.6,11.7,77.66,20.75,-5.11,Western Europe,Western Europe
DNK,87.68,161,70.05,99.67,149,22,21,192,77.6,11.5,10.9,77.6,20.86,-5.15,Northern Europe,Northern Europe
SWE,87.68,161,71.52,100.0,149,22,21,192,77.6,11.5,10.9,77.6,20.86,-5.15,Northern Europe,Northern Europe
KOR,87.62,163,71.94,87.49,148,19,24,191,77.5,9.9,12.6,77.49,21.09,-5.22,Eastern Asia,Eastern Asia
ITA,87.37,164,68.9,98.69,148,20,24,192,77.1,10.4,12.5,77.08,21.9,-5.46,Southern Europe,Southern Europe
CAN,87.36,165,60.6,83.94,148,23,21,192,77.1,12.0,10.9,77.08,21.9,-5.48,Northern America,Northern America
DEU,87.36,165,68.97,97.7,148,23,21,192,77.1,12.0,10.9,77.08,21.9,-5.48,Western Europe,Western Europe
HRV,87.04,167,67.49,97.37,147,23,22,192,76.6,12.0,11.5,76.56,22.94,-5.8,Southern Europe,Southern Europe
SVK,86.97,168,67.88,97.98,146,22,23,191,76.4,11.5,12.0,76.44,23.18,-5.86,Eastern Europe,Eastern Europe
FSM,86.35,169,60.93,89.4,120,27,11,158,75.9,17.1,7.0,75.95,24.25,-6.48,Micronesia,Oceania
EST,86.31,170,70.53,98.35,144,23,24,191,75.4,12.0,12.6,75.39,25.28,-6.52,Northern Europe,Northern Europe
LVA,86.06,171,71.23,97.38,144,24,24,192,75.0,12.5,12.5,75.0,26.06,-6.77,Northern Europe,Northern Europe
POL,85.73,172,66.5,98.34,143,24,25,192,74.5,12.5,13.0,74.48,27.11,-7.1,Eastern Europe,Eastern Europe
ROU,85.73,172,68.01,98.67,143,24,25,192,74.5,12.5,13.0,74.48,27.11,-7.1,Eastern Europe,Eastern Europe
LTU,85.4,174,68.13,97.35,142,24,26,192,74.0,12.5,13.5,73.96,28.15,-7.43,Northern Europe,Northern Europe
FRA,85.35,175,61.71,94.66,142,28,22,192,74.0,14.6,11.5,73.96,28.15,-7.49,Western Europe,Western Europe
RUS,85.25,176,59.03,77.9,142,31,19,192,74.0,16.1,9.9,73.96,28.15,-7.58,Eastern Europe,Eastern Europe
BGR,84.96,177,68.42,97.29,140,22,29,191,73.3,11.5,15.2,73.3,29.47,-7.87,Eastern Europe,Eastern Europe
GBR,84.93,178,63.0,93.01,141,31,20,192,73.4,16.1,10.4,73.44,29.19,-7.9,Northern Europe,Northern Europe
CZE,84.38,179,64.19,96.31,139,25,28,192,72.4,13.0,14.6,72.4,31.27,-8.46,Eastern Europe,Eastern Europe
GEO,84.14,180,65.67,80.12,133,11,39,183,72.7,6.0,21.3,72.68,30.71,-8.7,Western Asia,Western Asia
ALB,84.03,181,68.05,94.14,136,20,33,189,72.0,10.6,17.5,71.96,32.15,-8.81,Southern Europe,Southern Europe
UKR,83.99,182,67.01,95.87,135,25,28,188,71.8,13.3,14.9,71.81,32.45,-8.85,Eastern Europe,Eastern Europe
MKD,83.26,183,51.33,94.08,133,24,31,188,70.7,12.8,16.5,70.74,34.58,-9.57,Southern Europe,Southern Europe
MDG,83.12,184,51.27,78.3,8,0,3,11,72.7,0.0,27.3,72.73,40.53,-9.71,Eastern Africa,Sub-Saharan Africa
HUN,81.47,185,66.3,92.09,131,33,28,192,68.2,17.2,14.6,68.23,39.61,-11.36,Eastern Europe,Eastern Europe
NRU,78.76,186,63.34,84.21,37,15,4,56,66.1,26.8,7.1,66.07,43.92,-14.07,Micronesia,Oceania
SSD,76.23,187,36.62,71.84,36,1,19,56,64.3,1.8,33.9,64.29,53.85,-16.6,Eastern Africa,Sub-Saharan Africa
PRY,74.2,188,46.71,69.3,113,29,49,191,59.2,15.2,25.7,59.16,57.74,-18.64,South America,Latin America & Caribbean
ARG,32.79,189,0.0,21.22,42,84,29,155,27.1,54.2,18.7,27.1,121.87,-60.05,South America,Latin America & Caribbean
ISR,12.87,190,59.54,0.0,20,98,27,145,13.8,67.6,18.6,13.79,148.48,-79.97,Western Asia,Western Asia
USA,0.0,191,45.21,88.41,10,174,8,192,5.2,90.6,4.2,5.21,171.33,-92.84,Northern America,Northern America
