partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
RWA,-0.2826325680272091,-0.8535822630491904,-0.5709,False,Eastern Africa,0.6584078931043418,0.8657436320497047,0.2073,0.2902800440646239,0.6330932532352258,0.3428
BRN,-0.3276254640406362,-0.8973104063836513,-0.5697,False,South-eastern Asia,0.7675825486094675,0.8949417725031339,0.1274,0.2758802939230215,0.6633877348260466,0.3875
IND,-0.288625444408612,-0.8582786383559495,-0.5697,True,Southern Asia,0.7261581134894928,0.8884812745416688,0.1623,0.4253198913368356,0.7376203968507568,0.3123
SLE,-0.2959046138327883,-0.8631549347115569,-0.5673,False,Western Africa,0.7279280907269305,0.870320616907472,0.1424,0.2906976744186046,0.6127167630057802,0.322
JOR,-0.3276254640406362,-0.8937362878109808,-0.5661,False,Western Asia,0.7435955939654216,0.8910394968592901,0.1474,0.2873753061698141,0.6519426490114378,0.3646
VNM,-0.3493975903614457,-0.9150994033917386,-0.5657,False,South-eastern Asia,0.7409666452109943,0.895948842537068,0.155,0.355085536599346,0.6837904504522274,0.3287
BRB,-0.2326997657790774,-0.7958852199647386,-0.5632,False,Caribbean,0.691702658085387,0.8058446823064509,0.1141,0.2057445197835324,0.6692660770735851,0.4635
COD,-0.1585687689262444,-0.7176990826552212,-0.5591,False,Middle Africa,0.6230454670475015,0.724736605710613,0.1017,0.1557784847124024,0.4601022563089212,0.3043
KAZ,-0.3414888088568143,-0.8976757017088441,-0.5562,False,Central Asia,0.7375576239403935,0.9117142132684756,0.1742,0.3594425773447946,0.674329753585237,0.3149
YEM,-0.3177350253327822,-0.8736791272494191,-0.5559,False,Western Asia,0.7357947132400516,0.8871330839038918,0.1513,0.2543395091990003,0.6800204009180464,0.4257
BWA,-0.2041573766762269,-0.7593411149124423,-0.5552,False,Southern Africa,0.6408651781232633,0.7744030926623655,0.1335,0.1378883579050725,0.5307026516943107,0.3928
MRT,-0.3272787379567187,-0.8816263373932997,-0.5543,False,Western Africa,0.7703200779791602,0.8952739487975864,0.125,0.2857953049377243,0.6762346099178337,0.3904
TUN,-0.3452625619894981,-0.8991858993220234,-0.5539,False,Northern Africa,0.7566040836457503,0.8854354748664643,0.1288,0.3040987671654036,0.6407022585112406,0.3366
GAB,-0.306800433546135,-0.860039297665412,-0.5532,False,Middle Africa,0.7169953127329436,0.878627395414727,0.1616,0.3014017638565075,0.6318867124051225,0.3305
FJI,-0.1372053249871129,-0.68837822485072,-0.5512,False,Melanesia,0.3937807653241086,0.7018326026362276,0.3081,0.0539163866017192,0.4914871199906958,0.4376
MYS,-0.3412709531352105,-0.8919049220078462,-0.5506,False,South-eastern Asia,0.747856921653823,0.8949417725031339,0.1471,0.3005830563260913,0.6522383611314913,0.3517
LAO,-0.3493975903614457,-0.8976757017088441,-0.5483,False,South-eastern Asia,0.7656655333846941,0.9060159994355474,0.1404,0.3314131674927229,0.6571857767991716,0.3258
GHA,-0.3095457452319639,-0.8577395444964624,-0.5482,False,Western Africa,0.7077909169589277,0.8642836704266001,0.1565,0.2690104478770879,0.629304575908862,0.3603
KEN,-0.32335909071658,-0.870737700586407,-0.5474,False,Eastern Africa,0.711991493403343,0.8779663328834457,0.166,0.2706069630676316,0.6472550782714506,0.3766
BTN,-0.32335909071658,-0.8650958435671753,-0.5417,False,Southern Asia,0.711991493403343,0.8782750763520626,0.1663,0.2941380033343822,0.6250908158904344,0.331
DJI,-0.3295029892339964,-0.8699696615326453,-0.5405,False,Eastern Africa,0.7357947132400516,0.8718267164379796,0.136,0.2774612827625458,0.6171831642983525,0.3397
SEN,-0.3558885029135167,-0.8926466666107159,-0.5368,False,Western Africa,0.704416447597278,0.8952739487975864,0.1909,0.3134578344107678,0.6591866785753673,0.3457
