Country,TopicTag,yes_pct_2024,votes_2024,yes_pct_2025,votes_2025,yes_pct_change
BRA,RECOMMENDATIONS,100.0,1.0,100.0,1.0,0.0
BRA,RESOURCES (GENERAL),100.0,1.0,100.0,9.0,0.0
BRA,SPACE SCIENCES,100.0,3.0,100.0,5.0,0.0
BRA,TAXATION,100.0,1.0,100.0,1.0,0.0
BRA,TRADE RELATED FINANCE,100.0,1.0,100.0,1.0,0.0
BRA,WATER,100.0,2.0,100.0,2.0,0.0
BRA,WELFARE AND SOCIAL SERVICES,100.0,2.0,100.0,14.0,0.0
BRA,WILDLIFE,100.0,1.0,100.0,4.0,0.0
BRA,WOMEN'S ADVANCEMENT,100.0,1.0,100.0,4.0,0.0
BRA,MAINTENANCE OF PEACE AND SECURITY,87.1,31.0,87.2,47.0,0.1
BRA,INTERNATIONAL RELATIONS,87.1,31.0,89.6,48.0,2.5
BRA,POLITICAL AND LEGAL QUESTIONS,88.6,79.0,93.9,131.0,5.3
BRA,HUMANITARIAN AID AND RELIEF,80.0,5.0,87.5,16.0,7.5
BRA,DISARMAMENT AND MILITARY QUESTIONS,90.0,40.0,97.6,42.0,7.6
BRA,SOCIAL DEVELOPMENT,87.5,8.0,95.8,24.0,8.3
BRA,NATURAL RESOURCES AND THE ENVIRONMENT,85.7,7.0,100.0,30.0,14.3
BRA,SOCIAL CONDITIONS AND EQUITY,75.0,20.0,97.1,35.0,22.1
BRA,HUMAN RIGHTS,70.6,17.0,94.7,19.0,24.1
BRA,POLITICAL EVENTS AND ISSUES,68.8,16.0,95.2,21.0,26.4
BRA,DISCRIMINATION,66.7,9.0,100.0,8.0,33.3
BRA,ENERGY RESOURCES,0.0,1.0,100.0,3.0,100.0
BRA,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,83.3,6.0,
BRA,BANKING AND INVESTMENT,,,100.0,3.0,
BRA,COMMODITIES,,,100.0,1.0,
BRA,COMMUNICATION AND MASS MEDIA,,,100.0,2.0,
BRA,COMPREHENSIVE HEALTH SERVICES,,,100.0,3.0,
BRA,CONSUMERS AND COOPERATIVES,,,100.0,2.0,
BRA,CRIME AND CRIMINAL JUSTICE,,,100.0,1.0,
BRA,CROP MANAGEMENT,,,100.0,1.0,
BRA,CULTURAL DEVELOPMENT,,,100.0,3.0,
BRA,CULTURE,,,100.0,8.0,
BRA,DISEASE PREVENTION AND CONTROL,,,100.0,4.0,
BRA,DISEASES AND CARRIERS OF DISEASES,,,100.0,4.0,
BRA,EDUCATION,,,100.0,3.0,
BRA,EDUCATIONAL POLICY AND PLANNING,,,100.0,3.0,
BRA,EMPLOYMENT,,,100.0,2.0,
BRA,EMPLOYMENT PROMOTION AND PLANNING,,,100.0,1.0,
BRA,FOOD AND NUTRITION,,,100.0,2.0,
BRA,FORESTRY,,,100.0,1.0,
BRA,GEOGRAPHY,,,100.0,1.0,
BRA,HEALTH,,,100.0,7.0,
BRA,HOUSING,,,100.0,1.0,
BRA,HUMAN SETTLEMENTS,,,100.0,2.0,
BRA,INTERNATIONAL TRADE LAW,100.0,1.0,,,
BRA,LAND FORMS AND ECOSYSTEMS,,,100.0,1.0,
BRA,LAND TRANSPORT,,,100.0,1.0,
BRA,LANGUAGE,,,100.0,1.0,
BRA,LAW OF WAR,,,100.0,1.0,
BRA,MONETARY ISSUES,,,100.0,1.0,
BRA,PERSONS WITH DISABILITIES,,,100.0,1.0,
BRA,PHILOSOPHY AND RELIGION,,,100.0,3.0,
BRA,PSYCHOLOGY,,,100.0,1.0,
BRA,SETTLEMENT PLANNING,,,100.0,1.0,
BRA,SPECIAL CATEGORIES OF WORKERS,,,100.0,2.0,
BRA,SPECIAL ECONOMIC AREAS,,,100.0,1.0,
BRA,SPECIAL HUMANITARIAN OPERATIONS,,,80.0,5.0,
BRA,STATISTICS,,,100.0,1.0,
BRA,TELECOMMUNICATIONS,,,100.0,1.0,
BRA,TRADE IN COMMODITIES,,,100.0,1.0,
BRA,TRADE IN MANUFACTURES; BARRIERS TO TRADE,,,100.0,3.0,
